title	date	journal	url	EMOBON_publication
Light-induced changes in the photosynthetic physiology and biochemistry in the diatom Skeletonema marinoi	2016	Algal Research	https://doi.org/10.1016/j.algal.2016.04.013	No
Influence of the algal microbiome on biofouling during industrial cultivation of Nannochloropsis sp. in closed photobioreactors	2019	Algal Research	https://doi.org/10.1016/j.algal.2019.101591	No
Screening of marine microalgae: Investigation of new exopolysaccharide producers	2019	Algal Research	https://doi.org/10.1016/j.algal.2019.101711	No
Chronic stress and disease resistance in the genome model marine seaweed Ectocarpus siliculosus	2013	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2012.07.008	No
Extending the life history of a clonal aquatic plant: Dispersal potential of sexual and asexual propagules of Zostera noltii	2014	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2013.10.007	No
Nitrogen and sulfur assimilation in plants and algae	2014	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2014.06.012	No
The use of different anaesthetics as welfare promoters during short-term human manipulation of European cuttlefish (Sepia officinalis) juveniles	2012	Aquaculture	https://doi.org/10.1016/j.aquaculture.2012.10.014	No
The effects of rearing temperature on reproductive conditioning of stalked barnacles (Pollicipes pollicipes)	2015	Aquaculture	https://doi.org/10.1016/j.aquaculture.2015.06.015	No
A workflow used to design low density SNP panels for parentage assignment and traceability in aquaculture species and its validation in Atlantic salmon	2017	Aquaculture	https://doi.org/10.1016/j.aquaculture.2017.04.001	No
Comparative study on cellular and molecular responses in oyster sperm revealed different susceptibilities to cryopreservation	2019	Aquaculture	https://doi.org/10.1016/j.aquaculture.2018.08.049	No
Assessing environmental effects of the bay scallop Argopecten irradians culture in China: Using abiotic and biotic indicators	2019	Aquaculture	https://doi.org/10.1016/j.aquaculture.2018.09.050	No
Halophilic bacteria as a food source for the brine shrimp Artemia	2019	Aquaculture	https://doi.org/10.1016/j.aquaculture.2018.10.068	No
Long term survival of cryopreserved mussel larvae (Mytilus galloprovinciallis)	2019	Aquaculture	https://doi.org/10.1016/j.aquaculture.2019.734326	No
PAH effects on meio- and microbial benthic communities strongly depend on bioavailability	2014	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2013.11.013	No
Effect of bisphenol A on P-glycoprotein-mediated efflux and ultrastructure of the sea urchin embryo	2014	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2014.07.018	No
Bisphenols disrupt differentiation of the pigmented cells during larval brain formation in the ascidian	2019	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2019.105314	No
A flexible state–space model for learning nonlinear dynamical systems	2017	Automatica	https://doi.org/10.1016/j.automatica.2017.02.030	No
Identification of novel phospholipase A2 group IX members in metazoans	2013	Biochimie	https://doi.org/10.1016/j.biochi.2013.04.003	No
A Web Site for Detecting Protein Structural Domain Neighbours	2013	Biophysical Journal	https://doi.org/10.1016/j.bpj.2012.11.3159	No
Comparison of the transcriptional responses of skeletal muscle and bone to a flooding dose of leucine in the gilthead sea bream (Sparus aurata)	2016	Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology	https://doi.org/10.1016/j.cbpb.2016.02.003	No
Prevalence and mechanism of polyunsaturated aldehydes production in the green tide forming macroalgal genus Ulva (Ulvales, Chlorophyta)	2014	Chemistry and Physics of Lipids	https://doi.org/10.1016/j.chemphyslip.2014.05.008	No
Post-cryopreservation viability of the benthic freshwater diatom Planothidium frequentissimum depends on light levels	2013	Cryobiology	https://doi.org/10.1016/j.cryobiol.2013.04.005	No
Investigating sperm cryopreservation in a model tunicate, Ciona intestinalis sp. A	2014	Cryobiology	https://doi.org/10.1016/j.cryobiol.2013.11.005	No
Cryopreservation of mussel trochophore larvae and long-term effects: from larval rearing to settlement.	2018	Cryobiology	https://doi.org/10.1016/j.cryobiol.2018.10.206	No
Toxicity tests of cryoprotecting agents for Mytilus galloprovincialis (Lamark, 1819) early developmental stages	2019	Cryobiology	https://doi.org/10.1016/j.cryobiol.2019.01.001	No
Cryoprotectants synergy improve zebrafish sperm cryopreservation and offspring skeletogenesis	2019	Cryobiology	https://doi.org/10.1016/j.cryobiol.2019.10.001	No
Cryopreservation Of Clams For Conservation Of Threatened Fishing Resources	2019	Cryobiology	https://doi.org/10.1016/j.cryobiol.2019.10.158	No
Marine Viruses Exploit Their Host's Two-Component Regulatory System in Response to Resource Limitation	2012	Current Biology	https://doi.org/10.1016/j.cub.2011.11.055	No
Deuterostomic Development in the Protostome Priapulus caudatus	2012	Current Biology	https://doi.org/10.1016/j.cub.2012.09.037	No
A Novel Protein, Ubiquitous in Marine Phytoplankton, Concentrates Iron at the Cell Surface and Facilitates Uptake	2015	Current Biology	https://doi.org/10.1016/j.cub.2014.12.004	No
Alternative Mechanisms for Fast Na+/Ca2+ Signaling in Eukaryotes via a Novel Class of Single-Domain Voltage-Gated Channels	2019	Current Biology	https://doi.org/10.1016/j.cub.2019.03.041	No
Experimental data from flesh quality assessment and shelf life monitoring of high pressure processed European sea bass (Dicentrarchus labrax) fillets	2019	Data in Brief	https://doi.org/10.1016/j.dib.2019.104451	No
Cold seep biogenic carbonate crust in the Levantine basin is inhabited by burrowing Phascolosoma aff. turnerae, a sipunculan worm hosting a distinctive microbiota	2014	Deep Sea Research Part I: Oceanographic Research Papers	https://doi.org/10.1016/j.dsr.2014.04.014	No
Diatom species fluxes in the seasonally ice-covered Antarctic Zone: New data from offshore Prydz Bay and comparison with other regions from the eastern Antarctic and western Pacific sectors of the Southern Ocean	2019	Deep Sea Research Part II: Topical Studies in Oceanography	https://doi.org/10.1016/j.dsr2.2018.06.005	No
Assessing the ecological status of seagrasses using morphology, biochemical descriptors and microbial community analyses. A study in Halophila stipulacea (Forsk.) Aschers meadows in the northern Red Sea	2016	Ecological Indicators	https://doi.org/10.1016/j.ecolind.2015.09.014	No
Structure of late summer phytoplankton community in the Firth of Lorn (Scotland) using microscopy and HPLC-CHEMTAX	2015	Estuarine, Coastal and Shelf Science	https://doi.org/10.1016/j.ecss.2015.07.006	No
Spatio-temporal variation in sediment ecosystem processes and roles of key biota in the Scheldt estuary	2019	Estuarine, Coastal and Shelf Science	https://doi.org/10.1016/j.ecss.2019.04.001	No
Morphology, ontogenesis and molecular phylogeny of Platynematum salinarum nov. spec., a new scuticociliate (Ciliophora, Scuticociliatia) from a solar saltern	2014	European Journal of Protistology	https://doi.org/10.1016/j.ejop.2013.10.001	No
Noise can affect acoustic communication and subsequent spawning success in fish	2018	Environmental Pollution	https://doi.org/10.1016/j.envpol.2017.11.003	No
Doublecortin is widely expressed in the developing and adult retina of sharks	2015	Experimental Eye Research	https://doi.org/10.1016/j.exer.2015.04.002	No
Isoprostanoids quantitative profiling of marine red and brown macroalgae	2018	Food Chemistry	https://doi.org/10.1016/j.foodchem.2018.06.111	No
Effect of dietary ascorbic acid on growth and non-specific immune responses of tiger puffer, Takifugu rubripes	2008	Fish  Shellfish Immunology	https://doi.org/10.1016/j.fsi.2008.08.009	No
